,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time
903,袁娅维 - 说散就散,135.99917763157896,Pop,国语,2017-12-22,negative,sad,0,0,0
904,许嵩 - 断桥残雪,80.74951171875,Pop,国语,2007-06-02,negative,sad,0,0,0
905,许嵩 _ 何曼婷 - 素颜,86.1328125,Pop,国语,2010-08-18,negative,sad,0,0,0
906,赵偲旖 - 空荡荡,123.046875,Pop,国语,2020-07-03,negative,sad,0,0,0
907,赵方婧 - 尽头,184.5703125,Pop,国语,2016-11-30,negative,sad,0,0,0
908,赵晨唏 - 失眠电台,75.99954044117645,Jazz,国语,2020-05-06,negative,sad,0,0,0
909,赵雷 - 成都,184.5703125,Folk,国语,2016-12-21,negative,sad,0,0,0
910,达多 (달다) - 금요병 (周五病),103.359375,blues,,,,sad,0,0,0
911,邱霖Chill0 - 我的歌声里 (T.back Remix),80.74951171875,Rap/HipHop,国语,2014-01-06,negative,sad,0,0,0
912,郭顶 - 保留,123.046875,Pop,国语,2016-11-25,negative,sad,0,0,0
913,郭顶 - 水星记,135.99917763157896,Pop,国语,2016-11-25,negative,sad,0,0,0
914,郭顶 - 水星记~1,135.99917763157896,blues,国语,2020-06-04,negative,sad,0,0,0
915,阿悠悠 - 一生与你擦肩而过,95.703125,Pop,国语,2019-11-07,negative,sad,0,0,0
916,阿悠悠 - 念旧,99.38401442307692,rock,国语,2019-08-25,negative,sad,0,0,0
917,阿杜 - 撕夜,63.024009146341456,Pop,国语,2002-04-12,negative,sad,0,0,0
918,阿翔班长 - 烟火里的尘埃 (片段),95.703125,rock,,,,sad,0,0,0
919,陈奕迅 - 我们,151.9990808823529,Pop,国语,2018-04-10,negative,sad,0,0,0
920,陈奕迅 - 红玫瑰,129.19921875,Pop,国语,2007-04-24,negative,sad,0,0,0
921,陈小春 - 独家记忆,161.4990234375,Pop,国语,2008-04-09,negative,sad,0,0,0
922,陈烁 - 嚣张 (DJ版),129.19921875,Pop,纯音乐,2020-05-14,negative,sad,0,0,0
923,陈雪凝 - 你的酒馆对我打了烊,83.35433467741936,rock,国语,2019-02-19,negative,sad,0,0,0
924,陈雪凝 - 绿色,123.046875,Pop,国语,2019-02-14,negative,sad,0,0,0
925,陶喆 - 爱，很简单,69.83741554054055,Pop,国语,2003-08-08,negative,sad,0,0,0
926,隔壁老樊 - 多想在平庸的生活拥抱你 (Live),117.45383522727272,Pop,国语,2019-06-08,negative,sad,0,0,0
927,鞠文娴 - BINGBIAN病变 (女声版),112.34714673913044,Pop,国语,2018-01-27,negative,sad,0,0,0
928,韩夜 - 一人饮酒醉 (改版片段),107.666015625,Pop,纯音乐,2020-04-09,negative,sad,0,0,0
929,韩安旭 - 多幸运,112.34714673913044,Pop,国语,2015-10-23,negative,sad,0,0,0
930,高至豪 - The Truth That You Leave (钢琴曲),129.19921875,EasyListening,纯音乐,2016-01-01,negative,sad,0,0,0
931,魏新 - 离歌,66.25600961538461,Dance,国语,2020-04-13,negative,sad,0,0,0
932,魏新雨 - 余情未了,103.359375,blues,国语,2019-05-21,negative,sad,0,0,0
